P_av = 0.603945 +/- 0.000180895

number P_av
1 0.605024
2 0.606633
3 0.607126
4 0.604997
5 0.602743
6 0.604421
7 0.601827
8 0.605804
9 0.603448
10 0.601709
11 0.60454
12 0.602868
13 0.603868
14 0.603239
15 0.607237
16 0.606717
17 0.605599
18 0.601835
19 0.603783
20 0.603772
21 0.605892
22 0.605551
23 0.603048
24 0.604152
25 0.60356
26 0.599929
27 0.602454
28 0.600662
29 0.604979
30 0.603924
31 0.603502
32 0.602989
33 0.608865
34 0.604933
35 0.601605
36 0.601321
37 0.602859
38 0.604154
39 0.603865
40 0.603235
41 0.603585
42 0.606532
43 0.602938
44 0.604957
45 0.605234
46 0.603524
47 0.603457
48 0.60484
49 0.606033
50 0.607073
51 0.601987
52 0.605505
53 0.604693
54 0.604873
55 0.601331
56 0.598707
57 0.602924
58 0.606086
59 0.60218
60 0.603606
61 0.604599
62 0.603966
63 0.60277
64 0.603194
65 0.604283
66 0.607085
67 0.603457
68 0.608432
69 0.606124
70 0.60351
71 0.603012
72 0.60474
73 0.601827
74 0.604855
75 0.605939
76 0.600779
77 0.604697
78 0.603969
79 0.60509
80 0.603014
81 0.603145
82 0.603059
83 0.60086
84 0.603284
85 0.603877
86 0.604392
87 0.603379
88 0.601044
89 0.604216
90 0.602802
91 0.605906
92 0.604807
93 0.599273
94 0.604634
95 0.604705
96 0.60386
97 0.605674
98 0.604226
99 0.603739
100 0.603543
