P_av = 0.602227 +/- 9.83038e-005

number P_av
1 0.602183
2 0.601751
3 0.602308
4 0.602374
5 0.603738
6 0.602659
7 0.60291
8 0.602966
9 0.602232
10 0.601995
11 0.602207
12 0.601973
13 0.602097
14 0.602247
15 0.601739
16 0.602361
17 0.601563
18 0.60268
19 0.601949
20 0.602701
21 0.601602
22 0.603567
23 0.601876
24 0.601802
25 0.602062
26 0.602372
27 0.60246
28 0.602796
29 0.602083
30 0.600809
31 0.600715
32 0.602011
33 0.601649
34 0.6032
35 0.602257
36 0.602555
37 0.603075
38 0.602181
39 0.601746
40 0.601614
