beta P_av d_P_av
0.1 0.0231137 0.0021741
0.2 0.0477585 0.00395227
0.3 0.0698995 0.00350291
0.4 0.0990797 0.00271597
0.5 0.128221 0.00314114
0.6 0.141577 0.00333057
0.7 0.169718 0.00246886
0.8 0.195435 0.00294421
0.9 0.220627 0.00226839
1 0.24294 0.00261764
1.1 0.264226 0.0023913
1.2 0.289252 0.00249984
1.3 0.314611 0.00245074
1.4 0.338298 0.00367888
1.5 0.358449 0.00349637
1.6 0.388967 0.00282502
1.7 0.414263 0.00340712
1.8 0.442369 0.00302483
1.9 0.467946 0.00250966
2 0.502606 0.0037378
2.1 0.541387 0.0022402
2.2 0.574349 0.00467116
2.3 0.61417 0.00287641
2.4 0.633797 0.00246832
2.5 0.656782 0.00174053
2.6 0.669969 0.00219673
2.7 0.689759 0.00150877
2.8 0.693671 0.00176887
2.9 0.712222 0.00216851
3 0.723536 0.00146645
